name,continent,score,max_health,damage_taken,damage_given,collectables,level,completion_time
KernelPanic,ANTARCTICA,93483,579,233,2987,650,913,581:42:26
AshenWyvern,NORTH_AMERICA,101183,689,130,3163,650,1067,654:02:30
RuneWarden,NORTH_AMERICA,108883,799,27,3339,650,1221,299:59:38
MoonBound,ANTARCTICA,56143,34,747,2169,660,157,373:29:07
StarfallRook,AFRICA,63843,144,644,2345,660,311,124:02:03
ThorneVeil,NORTH_AMERICA,71543,254,541,2521,660,465,622:51:32
EmberSage,ASIA,79243,364,438,2697,660,619,764:16:29
VoidPaladin,AUSTRALIA,86943,474,335,2873,660,773,903:34:40
FrostCrown,NORTH_AMERICA,94643,584,232,3049,660,927,866:55:01
PixelPeach,AUSTRALIA,102343,694,129,3225,660,1081,400:52:35
MochiMancer,SOUTH_AMERICA,110043,804,26,3401,660,1235,816:45:23
CozyCrit,SOUTH_AMERICA,57303,39,746,2231,670,171,460:42:10
lilCloud,SOUTH_AMERICA,65003,149,643,2407,670,325,897:21:28
NoodleSprout,SOUTH_AMERICA,72703,259,540,2583,670,479,369:51:11
BobaByte,AFRICA,80403,369,437,2759,670,633,010:27:36
SleepySlime,AFRICA,88103,479,334,2935,670,787,307:46:11
TofuQuest,NORTH_AMERICA,95803,589,231,3111,670,941,187:28:49
FramePerfect,EUROPE,103503,699,128,3287,670,1095,454:08:07
HardReset,AFRICA,111203,809,25,3463,670,1249,377:42:20
neonRift,NORTH_AMERICA,58463,44,745,2293,680,185,727:53:53
ApexShadow,NORTH_AMERICA,66163,154,642,2469,680,339,418:03:54
voidHunter,NORTH_AMERICA,73863,264,539,2645,680,493,158:42:42
PulseStrike,EUROPE,81563,374,436,2821,680,647,232:58:34
GhostFlame,EUROPE,89263,484,333,2997,680,801,418:10:18
NovaKnight,AFRICA,96963,594,230,3173,680,955,200:18:35
ironShade,EUROPE,104663,704,127,3349,680,1109,548:36:41
StaticBlade,AFRICA,112363,814,24,3525,680,1263,415:27:19
GravePulse,AFRICA,59623,49,744,2355,690,199,783:55:39
HexShade,ASIA,67323,159,641,2531,690,353,473:00:17
WraithStorm,NORTH_AMERICA,75023,269,538,2707,690,507,148:35:58
BloodFang,AFRICA,82723,379,435,2883,690,661,093:26:51
NightRing,EUROPE,90423,489,332,3059,690,815,705:46:59
BlackDusk,ASIA,98123,599,229,3235,690,969,364:02:33
DeadLine,EUROPE,105823,709,126,3411,690,1123,160:05:45
AshenFire,AFRICA,113523,819,23,3587,690,1277,418:25:31
LagKiller,EUROPE,60783,54,743,2417,700,213,315:10:14
OopsSlay,ASIA,68483,164,640,2593,700,367,060:22:44
microWavePower,ANTARCTICA,76183,274,537,2769,700,521,441:15:22
CertifiedNPC2,AFRICA,83883,384,434,2945,700,675,084:45:53
RespawnRush,ASIA,91583,494,331,3121,700,829,983:51:50
KeyboardBash,SOUTH_AMERICA,99283,604,228,3297,700,983,607:00:54
AimFix,AUSTRALIA,106983,714,125,3473,700,1137,446:55:58
PingCheck,ANTARCTICA,114683,824,22,3649,700,1291,199:06:30
QuantumFire,EUROPE,61943,59,742,2479,710,227,377:06:21
NeuralMind,NORTH_AMERICA,69643,169,639,2655,710,381,442:31:42
BitHunter,AFRICA,77343,279,536,2831,710,535,650:41:41
CacheBox,NORTH_AMERICA,85043,389,433,3007,710,689,302:08:35
LogicHack,NORTH_AMERICA,92743,499,330,3183,710,843,630:18:40
PacketSniper,AUSTRALIA,100443,609,227,3359,710,997,818:58:55
SignalVector,AFRICA,108143,719,124,3535,710,1151,477:55:26
KernelShade,ASIA,115843,829,21,3711,710,1305,696:44:52
AshenPhantom,EUROPE,63103,64,741,2541,720,241,855:15:45
RuneShade,ASIA,70803,174,638,2717,720,395,752:40:09
MoonFlow,EUROPE,78503,284,535,2893,720,549,643:06:20
StarfallGlim,SOUTH_AMERICA,86203,394,432,3069,720,703,000:55:43
ThornBlade,ASIA,93903,504,329,3245,720,857,135:22:53
EmberLight,EUROPE,101603,614,226,3421,720,1011,682:39:09
VoidWave,AFRICA,109303,724,123,3597,720,1165,135:31:26
FrostBlink,NORTH_AMERICA,117003,834,20,3773,720,1319,478:02:15
PixelPop,SOUTH_AMERICA,64263,69,740,2603,730,255,484:37:53
MochiFluff,ASIA,71963,179,637,2779,730,409,032:30:30
CozyDrift,AFRICA,79663,289,534,2955,730,563,932:25:22
LilFluff,AUSTRALIA,87363,399,431,3131,730,717,380:10:47
NoodleCloud,AFRICA,95063,509,328,3307,730,871,579:05:36
BobaDrizzle,EUROPE,102763,619,225,3483,730,1025,457:48:38
SleepyPuff,SOUTH_AMERICA,110463,729,122,3659,730,1179,271:41:42
TofuFizz,AFRICA,118163,839,19,3835,730,1333,097:00:23
FrameRush,EUROPE,65423,74,739,2665,740,269,952:28:18
HardBlow,AFRICA,73123,184,636,2841,740,423,256:17:33
NeonBlade,ANTARCTICA,80823,294,533,3017,740,577,194:00:52
ApexStorm,SOUTH_AMERICA,88523,404,430,3193,740,731,334:24:09
VoidLeaper,AUSTRALIA,96223,514,327,3369,740,885,959:45:19
PulseSpear,SOUTH_AMERICA,103923,624,224,3545,740,1039,941:07:43
GhostFlash,NORTH_AMERICA,111623,734,121,3721,740,1193,116:30:02
NovaFang,SOUTH_AMERICA,119323,844,18,3897,740,1347,314:15:56
IronBite,NORTH_AMERICA,66583,79,738,2727,750,283,795:31:33
StaticShock,NORTH_AMERICA,74283,189,635,2903,750,437,646:04:36
GraveLine,EUROPE,81983,299,532,3079,750,591,989:52:47
HexRider,EUROPE,89683,409,429,3255,750,745,938:18:49
WraithCore,NORTH_AMERICA,97383,519,326,3431,750,899,290:18:51
BloodDrip,NORTH_AMERICA,105083,629,223,3607,750,1053,879:02:45
NightShade,AFRICA,112783,739,120,3783,750,1207,129:43:17
BlackVein,EUROPE,120483,849,17,3959,750,1361,516:49:35
DeadBlink,AUSTRALIA,67743,84,737,2789,760,297,863:20:49
AshenRift,AUSTRALIA,75443,194,634,2965,760,451,369:50:16
LagStrike,EUROPE,83143,304,531,3141,760,605,303:52:57
OopsSlash,EUROPE,90843,414,428,3317,760,759,060:32:05
MicroWaveZone,ANTARCTICA,98543,524,325,3493,760,913,315:52:19
CertifiedNPC3,AUSTRALIA,106243,634,222,3669,760,1067,744:23:48
RespawnDash,AFRICA,113943,744,119,3845,760,1221,419:17:13
KeyboardSmash,AUSTRALIA,121643,854,16,4021,760,1375,807:35:09
AimBurst,AFRICA,68903,89,736,2851,770,311,701:47:58
PingPoint,NORTH_AMERICA,76603,199,633,3027,770,465,751:09:29
QuantumRealm,NORTH_AMERICA,84303,309,530,3203,770,619,465:30:54
NeuralFlux,EUROPE,92003,419,427,3379,770,773,286:36:50
BitCrush,NORTH_AMERICA,99703,529,324,3555,770,927,403:10:42
CacheLink,AFRICA,107403,639,221,3731,770,1081,349:08:01
LogicSpike,NORTH_AMERICA,115103,749,118,3907,770,1235,697:20:52
PacketDrift,NORTH_AMERICA,122803,859,15,4083,770,1389,084:07:17
SignalStorm,ANTARCTICA,70063,94,735,2913,780,325,173:14:33
KernelFang,AUSTRALIA,77763,204,632,3089,780,479,788:33:46
AshenShade,ASIA,85463,314,529,3265,780,633,887:58:53
RuneShade,ASIA,93163,424,426,3441,780,787,356:44:42
MoonFlow,SOUTH_AMERICA,100863,534,323,3617,780,941,568:26:27
StarfallGlim,ASIA,108563,644,220,3793,780,1095,193:37:23
ThornBlade,EUROPE,116263,754,117,3969,780,1249,227:19:09
EmberLight,ASIA,123963,864,14,4145,780,1403,937:35:35
VoidWave,AFRICA,71223,99,734,2975,790,339,992:33:54
FrostBlink,ASIA,78923,209,631,3151,790,493,367:35:05
PixelSprinkle,NORTH_AMERICA,86623,319,528,3327,790,647,266:06:36
MochiCloud,ASIA,94323,429,425,3503,790,801,703:19:54
CozyDrift,EUROPE,102023,539,322,3679,790,955,765:26:06
LilFluff,ANTARCTICA,109723,649,219,3855,790,1109,479:15:39
NoodleCloud,SOUTH_AMERICA,117423,759,116,4031,790,1263,436:30:00
BobaDrizzle,NORTH_AMERICA,125123,869,13,4207,790,1417,573:12:42
SleepyPuff,AFRICA,72383,104,733,3037,800,353,616:42:15
TofuFizz,ANTARCTICA,80083,214,630,3213,800,507,101:38:46
FrameBoost,ASIA,87783,324,527,3389,800,661,660:34:48
HardBlaze,AUSTRALIA,95483,434,424,3565,800,815,443:41:46
NeonSpike,ANTARCTICA,103183,544,321,3741,800,969,144:35:33
ApexFire,AUSTRALIA,110883,654,218,3917,800,1123,250:32:37
VoidCrush,SOUTH_AMERICA,118583,764,115,4093,800,1277,857:28:03
PulseFlare,EUROPE,126283,874,12,4269,800,1431,402:44:31
GhostShade,EUROPE,73543,109,732,3099,810,367,915:31:10
NovaReign,AUSTRALIA,81243,219,629,3275,810,521,360:25:47
IronPulse,NORTH_AMERICA,88943,329,526,3451,810,675,594:25:27
StaticShade,AUSTRALIA,96643,439,423,3627,810,829,043:34:20
GraveDrift,ASIA,104343,549,320,3803,810,983,841:00:15
HexBlink,NORTH_AMERICA,112043,659,217,3979,810,1137,355:36:46
WraithFinger,AUSTRALIA,119743,769,114,4155,810,1291,082:23:19
BloodSlash,SOUTH_AMERICA,127443,879,11,4331,810,1445,785:15:10
NightGlide,ASIA,67003,4,834,2985,820,227,512:54:56
BlackSpire,ASIA,74703,114,731,3161,820,381,320:38:23
DeadFlash,ASIA,82403,224,628,3337,820,535,502:31:34
AshenLight,EUROPE,90103,334,525,3513,820,689,117:23:14
LagRush,AFRICA,97803,444,422,3689,820,843,629:25:32
OopsPunch,AFRICA,105503,554,319,3865,820,997,574:49:04
MicroWaveZap,NORTH_AMERICA,113203,664,216,4041,820,1151,667:21:15
CertifiedNPC4,ASIA,120903,774,113,4217,820,1305,667:42:53
RespawnFlick,ASIA,128603,884,10,4393,820,1459,976:59:05
KeyboardRush,ASIA,68163,9,833,3047,830,241,255:09:12
AimStrike,NORTH_AMERICA,75863,119,730,3223,830,395,860:03:46
PingBurst,EUROPE,83563,229,627,3399,830,549,151:16:13
QuantumSpike,ANTARCTICA,91263,339,524,3575,830,703,685:50:14
NeuralWing,ANTARCTICA,98963,449,421,3751,830,857,549:13:37
BitGlide,EUROPE,106663,559,318,3927,830,1011,073:52:14
CacheSpark,NORTH_AMERICA,114363,669,215,4103,830,1165,490:53:09
LogicFire,SOUTH_AMERICA,122063,779,112,4279,830,1319,854:08:27
PacketRush,ASIA,129763,889,9,4455,830,1473,930:00:07
SignalFlick,ASIA,69323,14,832,3109,840,255,978:16:17
KernelPulse,ASIA,77023,124,729,3285,840,409,799:17:39
AshenStrike,AUSTRALIA,84723,234,626,3461,840,563,567:36:48
RuneBlitz,SOUTH_AMERICA,92423,344,523,3637,840,717,591:22:16
MoonRift,AFRICA,100123,454,420,3813,840,871,892:59:22
StarfallSpire,ASIA,107823,564,317,3989,840,1025,546:31:32
ThornFlash,NORTH_AMERICA,115523,674,214,4165,840,1179,345:03:02
EmberGlimmer,EUROPE,123223,784,111,4341,840,1333,766:10:46
VoidSpark,NORTH_AMERICA,130923,894,8,4517,840,1487,933:25:14
FrostGlide,NORTH_AMERICA,70483,19,831,3171,850,269,937:59:03
PixelZap,ASIA,78183,129,728,3347,850,423,940:10:27
MochiBuzz,SOUTH_AMERICA,85883,239,625,3523,850,577,533:45:42
CozyPuff,ANTARCTICA,93583,349,522,3699,850,731,367:38:34
LilBlink,ANTARCTICA,101283,459,419,3875,850,885,611:46:42
NoodleZap,AFRICA,108983,569,316,4051,850,1039,958:11:17
neonrift,AFRICA,116683,679,213,4227,850,1193,682:06:21
QuantumClutch,EUROPE,124383,789,110,4403,850,1347,124:44:09
synthrunner,ANTARCTICA,132083,899,7,4579,850,1501,486:14:35
FragV1per,NORTH_AMERICA,71643,24,830,3233,860,283,606:44:25
MetaBreak,ANTARCTICA,79343,134,727,3409,860,437,284:24:22
pulseR3actor,AUSTRALIA,87043,244,624,3585,860,591,639:10:11
overclockShade,EUROPE,94743,354,521,3761,860,745,554:02:45
DataSnip3r,AUSTRALIA,102443,464,418,3937,860,899,539:38:47
neonPulse,ASIA,110143,574,315,4113,860,1053,975:45:46
RiftRunnerX,EUROPE,117843,684,212,4289,860,1207,784:14:40
hyperclutch,AUSTRALIA,125543,794,109,4465,860,1361,824:19:10
PulseV1per,EUROPE,133243,904,6,4641,860,1515,283:13:49
MetaStrike,EUROPE,72803,29,829,3295,870,297,555:30:20
quantumR1der,ASIA,80503,139,726,3471,870,451,924:12:54
driftProtocol,EUROPE,88203,249,623,3647,870,605,858:17:33
shadowwraith,ANTARCTICA,95903,359,520,3823,870,759,539:38:03
CrimsonHex,ASIA,103603,469,417,3999,870,913,797:35:14
ghostCipher,ASIA,111303,579,314,4175,870,1067,901:40:07
nightrequiem,AUSTRALIA,119003,689,211,4351,870,1221,023:29:54
abyssC0de,SOUTH_AMERICA,126703,799,108,4527,870,1375,868:15:19
HexSoul,NORTH_AMERICA,134403,909,5,4703,870,1529,757:41:56
terminalrift,ANTARCTICA,73963,34,828,3357,880,311,563:05:08
DarkCiph3r,NORTH_AMERICA,81663,144,725,3533,880,465,159:47:50
voidharvester,AUSTRALIA,89363,254,622,3709,880,619,838:07:29
cryptBreaker,AFRICA,97063,364,519,3885,880,773,440:38:35
shadowKernel,AFRICA,104763,474,416,4061,880,927,081:11:40
nightF4ll,ASIA,112463,584,313,4237,880,1081,308:26:09
ghostR1der,SOUTH_AMERICA,120163,694,210,4413,880,1235,521:27:40
darkSignal,AUSTRALIA,127863,804,107,4589,880,1389,050:27:05
phantomC0de,EUROPE,135563,914,4,4765,880,1543,496:15:39
dragonnexus,AFRICA,75123,39,827,3419,890,325,313:23:36
RuneTemplar,ASIA,82823,149,724,3595,890,479,983:12:09
arcaneknight,SOUTH_AMERICA,90523,259,621,3771,890,633,707:26:32
StarforgeWarden,EUROPE,98223,369,518,3947,890,787,268:17:08
mysticprotocol,SOUTH_AMERICA,105923,479,415,4123,890,941,687:18:17
voidwyrm3,AUSTRALIA,113623,589,312,4299,890,1095,035:25:51
CelestialHack,EUROPE,121323,699,209,4475,890,1249,292:34:19
astralsentry,AFRICA,129023,809,106,4651,890,1403,102:45:22
emberWarden,EUROPE,136723,919,3,4827,890,1557,938:30:30
frostGlyph,SOUTH_AMERICA,76283,44,826,3481,900,339,970:08:26
arcaneR1ft,AFRICA,83983,154,723,3657,900,493,356:11:46
runeSeeker,ASIA,91683,264,620,3833,900,647,873:19:28
starbornSage,ANTARCTICA,99383,374,517,4009,900,801,172:52:27
titanF4ng,NORTH_AMERICA,107083,484,414,4185,900,955,234:48:08
cosmicKnight,NORTH_AMERICA,114783,594,311,4361,900,1109,957:55:30
mochiglitch,ANTARCTICA,122483,704,208,4537,900,1263,162:08:39
bobaBit,ANTARCTICA,130183,814,105,4713,900,1417,418:18:33
snugbug,AUSTRALIA,137883,924,2,4889,900,1571,213:06:01
fluffypixel,AUSTRALIA,77443,49,825,3543,910,353,608:05:41
cozycrash,AFRICA,85143,159,722,3719,910,507,059:48:42
pastelPacket,ANTARCTICA,92843,269,619,3895,910,661,255:10:04
liln00dle,EUROPE,100543,379,516,4071,910,815,296:33:17
pinkerror,EUROPE,108243,489,413,4247,910,969,161:35:55
mochiSpr1te,SOUTH_AMERICA,115943,599,310,4423,910,1123,953:55:18
tinycloudlet,ASIA,123643,709,207,4599,910,1277,564:48:47
bobaSprout,SOUTH_AMERICA,131343,819,104,4775,910,1431,804:13:10
sleepyP1xel,NORTH_AMERICA,139043,929,1,4951,910,1585,167:33:48
noodleblink,AUSTRALIA,78603,54,824,3605,920,367,728:30:31
peachygl1tch,ANTARCTICA,86303,164,721,3781,920,521,759:51:01
cozySprout,NORTH_AMERICA,94003,274,618,3957,920,675,679:08:07
oopsilagged,NORTH_AMERICA,101703,384,515,4133,920,829,105:02:38
NotASweat,AUSTRALIA,109403,494,412,4309,920,983,052:40:34
chairwarrior,ANTARCTICA,117103,604,309,4485,920,1137,829:31:17
potatoA1mbot,AUSTRALIA,124803,714,206,4661,920,1291,832:34:02
wifigoblin,SOUTH_AMERICA,132503,824,103,4837,920,1445,158:42:36
KeyboardYeet,EUROPE,140203,934,0,5013,920,1599,184:19:12
tacticalnugget,SOUTH_AMERICA,79763,59,823,3667,930,381,504:11:06
respawnaddict,ASIA,87463,169,720,3843,930,535,787:19:27
lagWasMe,ASIA,95163,279,617,4019,930,689,210:35:00
snackPowered,AUSTRALIA,102863,389,514,4195,930,843,419:00:19
momSaidPause,SOUTH_AMERICA,110563,499,411,4371,930,997,995:38:14
potatoLagKing,SOUTH_AMERICA,118263,609,308,4547,930,1151,018:56:03
chairDestroyer,AFRICA,125963,719,205,4723,930,1305,337:25:24
bonkDealer,ASIA,133663,829,102,4899,930,1459,861:34:37
afkChampion,SOUTH_AMERICA,80923,64,822,3729,940,395,356:25:03
frostfirewall,NORTH_AMERICA,88623,174,719,3905,940,549,273:18:12
EmberExecute,SOUTH_AMERICA,96323,284,616,4081,940,703,656:07:43
stormpacket,AUSTRALIA,104023,394,513,4257,940,857,220:32:49
magmaCode,ANTARCTICA,111723,504,410,4433,940,1011,667:45:57
glacialproxy,EUROPE,119423,614,307,4609,940,1165,713:47:35
thunderPing,ASIA,127123,724,204,4785,940,1319,881:46:48
solarhack,SOUTH_AMERICA,134823,834,101,4961,940,1473,668:22:40
tidalroot,ANTARCTICA,82083,69,821,3791,950,409,755:25:01
emberR00t,EUROPE,89783,179,718,3967,950,563,766:23:58
frostP1ng,EUROPE,97483,289,615,4143,950,717,052:02:44
staticSurge,AFRICA,105183,399,512,4319,950,871,504:19:52
magmaR1ft,NORTH_AMERICA,112883,509,409,4495,950,1025,330:45:42
stormH4sh,EUROPE,120583,619,306,4671,950,1179,964:28:50
glacialNode,SOUTH_AMERICA,128283,729,203,4847,950,1333,215:39:08
emberC0re,AUSTRALIA,135983,839,100,5023,950,1487,561:35:58
wolfproto,AFRICA,83243,74,820,3853,960,423,188:45:01
ViperNetwork,AFRICA,90943,184,717,4029,960,577,706:03:22
ravenCipher,AUSTRALIA,98643,294,614,4205,960,731,395:15:52
tigerPacket,ASIA,106343,404,511,4381,960,885,365:04:35
pantherNode,NORTH_AMERICA,114043,514,408,4557,960,1039,514:30:45
sharkReboot,SOUTH_AMERICA,121743,624,305,4733,960,1193,808:07:59
cobraCore,AUSTRALIA,129443,734,202,4909,960,1347,781:07:55
wolfR1der,AUSTRALIA,137143,844,99,5085,960,1501,629:38:51
cyberFalcon,AFRICA,84403,79,819,3915,970,437,421:59:17
neonV1per,ASIA,92103,189,716,4091,970,591,801:37:17
byteWolf,EUROPE,99803,299,613,4267,970,745,400:00:52
ravenN0va,AFRICA,107503,409,510,4443,970,899,697:24:43
tigerStrike,AUSTRALIA,115203,519,407,4619,970,1053,733:52:58
serpentPulse,ASIA,122903,629,304,4795,970,1207,763:08:56
pixelRevenant,AUSTRALIA,130603,739,201,4971,970,1361,349:09:15
RetroGhoul,EUROPE,138303,849,98,5147,970,1515,944:03:29
CartridgeShade,AFRICA,85563,84,818,3977,980,451,707:28:40
NeonNightmare,EUROPE,93263,194,715,4153,980,605,110:44:36
GlitchOverlord,NORTH_AMERICA,100963,304,612,4329,980,759,535:37:03
oldschoolHex,EUROPE,108663,414,509,4505,980,913,866:37:35
pixelRequiem,AUSTRALIA,116363,524,406,4681,980,1067,264:13:37
retroR1ft,AUSTRALIA,124063,634,303,4857,980,1221,391:06:51
pixelSpr1te,EUROPE,131763,744,200,5033,980,1375,085:29:08
turboRunner,EUROPE,139463,854,97,5209,980,1529,856:39:53
neonArcader,ASIA,86723,89,817,4039,990,465,394:11:07
glitchPilot,NORTH_AMERICA,94423,199,714,4215,990,619,893:09:26
pixelVandal,SOUTH_AMERICA,102123,309,611,4391,990,773,869:44:42
retroPulse,SOUTH_AMERICA,109823,419,508,4567,990,927,941:04:34
synthSprite,SOUTH_AMERICA,117523,529,405,4743,990,1081,867:17:40
neonSpectr4,ASIA,125223,639,302,4919,990,1235,033:33:48
RiftHopper,AFRICA,132923,749,199,5095,990,1389,416:14:37
cyberW0lfX,NORTH_AMERICA,140623,859,96,5271,990,1543,706:41:04
emberstrike,ASIA,87883,94,816,4101,1000,479,944:52:07
glitchF4ble,AFRICA,95583,204,713,4277,1000,633,515:24:11
frostN0va,ASIA,103283,314,610,4453,1000,787,951:20:44
tinyember,EUROPE,110983,424,507,4629,1000,941,139:43:26
serpentByte,ASIA,118683,534,404,4805,1000,1095,293:53:09
cozyV1bes,EUROPE,126383,644,301,4981,1000,1249,688:15:21
QuantumF4lcon,AUSTRALIA,134083,754,198,5157,1000,1403,536:24:19
pixelR0gue,NORTH_AMERICA,141783,864,95,5333,1000,1557,201:13:22
thunderGlyph,ASIA,89043,99,815,4163,1010,493,695:33:56
voidSpr1te,NORTH_AMERICA,96743,209,712,4339,1010,647,078:16:32
RuneBreaker,ASIA,104443,319,609,4515,1010,801,617:53:07
bobaGl1mm3r,EUROPE,112143,429,506,4691,1010,955,645:40:36